Date,3mo_Tbill
06/25/20,0.16
06/26/20,0.14
06/29/20,0.14
06/30/20,0.16
07/01/2020,0.14
07/02/2020,0.14
07/06/2020,0.15
07/07/2020,0.15
07/08/2020,0.15
07/09/2020,0.13
07/10/2020,0.13
07/13/20,0.14
07/14/20,0.15
07/15/20,0.16
07/16/20,0.11
07/17/20,0.11
07/20/20,0.13
07/21/20,0.13
07/22/20,0.13
07/23/20,0.12
07/24/20,0.11
07/27/20,0.11
07/28/20,0.11
07/29/20,0.11
07/30/20,0.09
07/31/20,0.09
08/03/2020,0.1
08/04/2020,0.09
08/05/2020,0.1
08/06/2020,0.1
08/07/2020,0.1
08/10/2020,0.11
08/11/2020,0.11
08/12/2020,0.11
08/13/20,0.1
08/14/20,0.1
08/17/20,0.1
08/18/20,0.09
08/19/20,0.11
08/20/20,0.11
08/21/20,0.1
08/24/20,0.12
08/25/20,0.11
08/26/20,0.11
08/27/20,0.11
08/28/20,0.1
08/31/20,0.11
09/01/2020,0.12
09/02/2020,0.12
09/03/2020,0.11
09/04/2020,0.11
09/08/2020,0.13
09/09/2020,0.12
09/10/2020,0.12
09/11/2020,0.11
09/14/20,0.11
09/15/20,0.11
09/16/20,0.12
09/17/20,0.09
09/18/20,0.1
09/21/20,0.1
09/22/20,0.1
09/23/20,0.11
09/24/20,0.1
09/25/20,0.1
09/28/20,0.11
09/29/20,0.09
09/30/20,0.1
10/01/2020,0.09
10/02/2020,0.09
10/05/2020,0.1
10/06/2020,0.1
10/07/2020,0.1
10/08/2020,0.09
10/09/2020,0.1
10/13/20,0.11
10/14/20,0.12
10/15/20,0.11
10/16/20,0.11
10/19/20,0.11
10/20/20,0.1
10/21/20,0.1
10/22/20,0.09
10/23/20,0.1
10/26/20,0.11
10/27/20,0.1
10/28/20,0.1
10/29/20,0.09
10/30/20,0.09
11/02/2020,0.09
11/03/2020,0.1
11/04/2020,0.1
11/05/2020,0.1
11/06/2020,0.1
11/09/2020,0.11
11/10/2020,0.1
11/12/2020,0.1
11/13/20,0.09
11/16/20,0.09
11/17/20,0.09
11/18/20,0.09
11/19/20,0.07
11/20/20,0.07
11/23/20,0.08
11/24/20,0.09
11/25/20,0.09
11/27/20,0.09
11/30/20,0.08
12/01/2020,0.09
12/02/2020,0.09
12/03/2020,0.08
12/04/2020,0.09
12/07/2020,0.08
12/08/2020,0.09
12/09/2020,0.08
12/10/2020,0.08
12/11/2020,0.08
12/14/20,0.09
12/15/20,0.08
12/16/20,0.09
12/17/20,0.08
12/18/20,0.08
12/21/20,0.09
12/22/20,0.09
12/23/20,0.09
12/24/20,0.09
12/28/20,0.11
12/29/20,0.1
12/30/20,0.08
12/31/20,0.09
01/04/2021,0.09
01/05/2021,0.09
01/06/2021,0.09
01/07/2021,0.09
01/08/2021,0.08
01/11/2021,0.08
01/12/2021,0.09
01/13/21,0.09
01/14/21,0.09
01/15/21,0.09
01/19/21,0.09
01/20/21,0.08
01/21/21,0.09
01/22/21,0.08
01/25/21,0.09
01/26/21,0.07
01/27/21,0.08
01/28/21,0.07
01/29/21,0.06
02/01/2021,0.07
02/02/2021,0.07
02/03/2021,0.04
02/04/2021,0.04
02/05/2021,0.03
02/08/2021,0.05
02/09/2021,0.04
02/10/2021,0.05
02/11/2021,0.05
02/12/2021,0.04
02/16/21,0.04
02/17/21,0.04
02/18/21,0.03
02/19/21,0.04
02/22/21,0.03
02/23/21,0.04
02/24/21,0.03
02/25/21,0.04
02/26/21,0.04
03/01/2021,0.05
03/02/2021,0.04
03/03/2021,0.05
03/04/2021,0.04
03/05/2021,0.04
03/08/2021,0.05
03/09/2021,0.05
03/10/2021,0.04
03/11/2021,0.04
03/12/2021,0.04
03/15/21,0.04
03/16/21,0.02
03/17/21,0.02
03/18/21,0.01
03/19/21,0.01
03/22/21,0.03
03/23/21,0.01
03/24/21,0.02
03/25/21,0.02
03/26/21,0.02
03/29/21,0.03
03/30/21,0.02
03/31/21,0.03
04/01/2021,0.02
04/02/2021,0.02
04/05/2021,0.03
04/06/2021,0.02
04/07/2021,0.02
04/08/2021,0.01
04/09/2021,0.02
04/12/2021,0.02
04/13/21,0.03
04/14/21,0.02
04/15/21,0.02
04/16/21,0.02
04/19/21,0.02
04/20/21,0.03
04/21/21,0.03
04/22/21,0.03
04/23/21,0.03
04/26/21,0.03
04/27/21,0.01
04/28/21,0.01
04/29/21,0.01
04/30/21,0.01
05/03/2021,0.04
05/04/2021,0.02
05/05/2021,0.02
05/06/2021,0.02
05/07/2021,0.02
05/10/2021,0.02
05/11/2021,0.01
05/12/2021,0.02
05/13/21,0.02
05/14/21,0.01
05/17/21,0.02
05/18/21,0.02
05/19/21,0.01
05/20/21,0.01
05/21/21,0.01
05/24/21,0.02
05/25/21,0.02
05/26/21,0.02
05/27/21,0.02
05/28/21,0.01
06/01/2021,0.02
06/02/2021,0.02
06/03/2021,0.02
06/04/2021,0.02
06/07/2021,0.02
06/08/2021,0.02
06/09/2021,0.03
